Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [g/km],Emissions HC [g/km],Emissions NOx [g/km],Emissions HC+NOx [g/km],Emissions Particulates [g/km],
SSANGYONG,Rodius,270 EX Auto TOD 165ps 7 Seats,5AT,2696,Diesel,13.0,8.0,9.8,21.7,35.5,28.8,250,2633,4,70.5,0.350,,0.290,0.340,0.040,
SUBARU,"Forester AWD, 2009/10 MY",2.0 XS,M5x2,1994,Petrol,10.9,7.0,8.4,25.9,40.4,33.6,198,2159,4,70.3,0.820,0.052,0.040,,,
SUZUKI,Swift,1.3 GLM 5 Door From VIN TSMMZA11S00503092,5MT,1328,Petrol,7.4,4.9,5.8,38.2,57.7,48.7,140,1490,4,71.0,0.548,0.053,0.005,,,
SUZUKI,Swift,1.3 GLM 5 Door Hatchback From VIN TSMMZC11S00500429,5MT,1328,Petrol,7.4,4.9,5.8,38.2,57.7,48.7,140,1490,4,71.0,0.548,0.053,0.005,,,
SUZUKI,Swift,1.3 SZ-L 5 Door From VIN TSMMZC11S00730659,5MT,1328,Petrol,7.4,4.9,5.8,38.2,57.7,48.7,140,1490,4,71.0,0.548,0.053,0.005,,,
SUZUKI,Swift,1.3t 3 Door From VIN TSMMZA11S00748397,5MT,1328,Petrol,7.4,4.9,5.8,38.2,57.6,48.7,140,1490,4,71.0,0.548,0.053,0.005,,,
SUZUKI,Swift,1.3 5 Door From VIN TSMMZC11S00748345,5MT,1328,Petrol,7.4,4.9,5.8,38.2,57.6,48.7,140,1490,4,71.0,0.548,0.053,0.005,,,
SUZUKI,Swift,1.5 GLX 3 Door From VIN TSMMZA21S00570026,5MT,1490,Petrol,7.9,5.0,6.1,35.8,56.5,46.3,143,1567,4,72.0,0.421,0.040,0.011,,,
SUZUKI,Swift,1.5 GLX 5 Door From VIN TSMMZC21S00570007,5MT,1490,Petrol,8.0,5.1,6.1,35.3,55.4,46.3,145,1567,4,72.0,0.469,0.046,0.011,,,
SUZUKI,Swift,1.5 GXA 5 Door From VIN TSMMZC21S00570030,4AT,1490,Petrol,8.7,5.2,6.5,32.5,54.3,43.5,153,1668,4,71.0,0.448,0.046,0.010,,,
SUZUKI,Swift,1.6 Sport 3 Door Hatchback From VIN TSMMZA31S00582334,5MT,1586,Petrol,8.7,6.0,7.0,32.4,47.0,40.3,165,1800,4,72.0,0.432,0.053,0.010,,,
SUZUKI,Swift,1.3 GLZ 3 Door DDiS,5MT,1248,Diesel,5.7,4.0,4.6,49.6,70.6,61.4,122,1235,4,71.0,0.233,,0.220,0.237,0.020,
SUZUKI,Swift,1.3 GLX 5 Door From VIN TSMMZC01S00508549,5MT,1248,Diesel,5.7,4.1,4.7,49.6,68.9,60.1,124,1262,4,69.0,0.191,,0.158,0.175,0.000,
SUZUKI,Swift,1.3 GLX 5 Door From VIN TSMMZC91S00529411,5MT,1248,Diesel,5.6,3.9,4.5,50.4,72.4,62.8,119,1207,4,70.0,0.337,,0.207,0.235,0.020,
SUZUKI,Swift,1.3 5 Door From VIN TSMMZC01S00757255,5MT,1248,Diesel,5.6,3.9,4.5,50.4,72.4,62.8,119,1207,4,70.0,0.337,,0.207,0.235,0.021,
SUZUKI,Jimny,1.3 SZ3 From VIN JSAFJB43V00438377,5MT,1328,Petrol,9.1,6.1,7.2,31.0,46.3,39.2,171,1851,4,73.5,0.557,0.046,0.006,,,
SUZUKI,Jimny,1.3 SZ4 From VIN JSAFJB43V00422449,5MT,1328,Petrol,9.1,6.1,7.2,31.0,46.3,39.2,171,1851,4,73.5,0.557,0.046,0.006,,,
SUZUKI,Jimny,1.3 SZ4 From VIN JSAFJB43V00422448,4AT,1328,Petrol,9.6,6.4,7.6,29.4,44.1,37.2,181,1950,4,71.3,0.510,0.056,0.007,,,
SUZUKI,SX4,1.5 GL Hatchback From VIN TSMEYA11S00242031,5MT,1490,Petrol,8.4,5.7,6.7,33.6,49.6,42.2,159,1719,4,71.0,0.299,0.034,0.007,,,
SUZUKI,SX4,1.5 GLX From VIN TSMEYA11S00302480,5MT,1490,Petrol,8.4,5.7,6.7,33.6,49.6,42.2,159,1719,4,71.0,0.299,0.034,0.007,,,
SUZUKI,SX4,1.6 4WD Hatchback From VIN TSMEYB21S00300082,5MTx2,1586,Petrol,8.7,5.9,6.9,32.5,47.9,40.9,164,1774,4,71.0,0.324,0.042,0.012,,,
SUZUKI,SX4,1.6 From VIN JSAGYA21S00105782,5MT,1586,Petrol,8.5,5.8,6.8,33.2,48.7,41.5,165,1748,4,72.0,0.242,0.040,0.008,,,
SUZUKI,SX4,1.6 From VIN JSAGYC21S00160010,5MT,1586,Petrol,8.4,5.7,6.7,33.6,49.6,42.2,159,1719,4,72.0,0.242,0.040,0.008,,,
SUZUKI,SX4,1.6 GLX Hatchback From VIN TSMEYA71S00300017,5MT,1560,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1423,4,74.8,0.129,,0.240,0.261,0.010,
SUZUKI,SX4,1.9 Diesel 4WD From VIN TSMEYB61S00300101,M6x2,1910,Diesel,7.9,5.6,6.4,35.8,50.4,44.1,170,1719,4,72.0,0.133,,0.201,0.208,0.000,
SUZUKI,"Grand Vitara, MY 2009 Onwards",Grand Vitara 3 Door From VIN JSAJTAA4V00100049,5MT,2393,Petrol,11.3,7.4,8.8,25.0,38.2,32.1,205,2260,4,72.0,0.422,0.033,0.014,,,
SUZUKI,"Grand Vitara, MY 2009 Onwards",Grand Vitara 3 Door From VIN JSAJTDA4V00112807,4AT,2393,Petrol,11.9,8.0,9.4,23.7,35.3,30.0,219,2418,4,72.0,0.170,0.039,0.021,,,
SUZUKI,"Grand Vitara, MY 2009 Onwards",Grand Vitara 5 Door From VIN JSAJTDA4V00100180,4AT,2393,Petrol,12.5,8.1,9.7,22.6,34.9,29.1,225,2493,4,72.0,0.197,0.040,0.023,,,
SUZUKI,"Grand Vitara, MY 2009 Onwards",Grand Vitara 5 Door From VIN JSAJTDA4V00100049,5MT,2393,Petrol,11.4,7.6,9.0,24.8,37.2,31.4,208,2311,4,72.0,0.354,0.026,0.017,,,
SUZUKI,"Grand Vitara, MY 2009 Onwards",Grand Vitara 3 Door From VIN JSAJTA44V00500017,5MT,1870,Diesel,8.3,6.2,7.0,34.0,45.6,40.4,183,1877,4,74.0,0.266,,0.195,0.221,0.042,
SUZUKI,"Splash, MY 2009 Onwards",Splash 1.0 5 Door From VIN TSMEXB22S00320563,5MT,996,Petrol,5.9,4.4,5.0,47.9,64.2,56.5,119,1284,4,70.0,0.442,0.037,0.004,,,
TOYOTA,"iQ, Model Year 2010",1.0 VVT-i 5-speed Manual,M5,998,Petrol,4.9,3.9,4.3,57.7,72.4,65.7,99,1104,4,67.3,0.150,0.030,0.020,,,
TOYOTA,"iQ, Model Year 2010",1.0 VVT-i 5-speed MultiDrive,Multi5,998,Petrol,5.7,4.1,4.7,49.6,68.9,60.1,110,1207,4,70.2,0.120,0.040,0.020,,,
TOYOTA,"iQ, Model Year 2010",1.33 VVT-i 6-speed Manual,6MT,1329,Petrol,5.9,4.2,4.8,47.9,67.3,58.9,113,1232,4,67.3,0.098,0.024,0.016,,,
TOYOTA,"Yaris, Model Year 2010",1.0 VVT-i 5 speed Manual,M5,998,Petrol,6.0,4.5,5.0,47.1,62.8,56.5,118,1284,4,70.5,0.400,0.070,0.020,,,
